<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GC,I,20250107,173000,2665.4,2665.6,2663.9,2664.1,657,0
GC,I,20250107,173500,2664.0,2666.2,2662.2,2664.1,1086,0
GC,I,20250107,174000,2664.1,2667.5,2663.4,2667.4,662,0
GC,I,20250107,174500,2667.4,2668.5,2666.3,2668.0,818,0
GC,I,20250107,175000,2668.2,2669.5,2667.6,2668.0,709,0
GC,I,20250107,175500,2667.8,2667.9,2665.4,2666.2,369,0
GC,I,20250107,180000,2666.4,2666.7,2664.9,2665.7,452,0
GC,I,20250107,180500,2665.8,2667.4,2665.6,2666.7,448,0
GC,I,20250107,181000,2666.8,2667.8,2666.2,2666.8,382,0
GC,I,20250107,181500,2666.7,2667.2,2666.0,2666.8,314,0
GC,I,20250107,182000,2666.6,2669.5,2666.4,2668.7,439,0
GC,I,20250107,182500,2668.6,2668.6,2665.8,2667.4,663,0
GC,I,20250107,183000,2667.5,2669.1,2667.3,2668.8,501,0
GC,I,20250107,183500,2669.0,2670.4,2667.5,2667.9,691,0
GC,I,20250107,184000,2667.8,2668.2,2666.4,2666.5,567,0
GC,I,20250107,184500,2666.4,2666.7,2665.0,2665.5,621,0
GC,I,20250107,185000,2665.6,2665.7,2664.2,2664.8,543,0
GC,I,20250107,185500,2664.9,2666.3,2664.6,2666.3,318,0
GC,I,20250107,190000,2666.5,2667.0,2666.2,2666.7,255,0
GC,I,20250107,190500,2666.7,2666.8,2664.3,2664.5,372,0
GC,I,20250107,191000,2664.6,2665.9,2664.6,2664.8,256,0
GC,I,20250107,191500,2664.6,2665.2,2663.6,2664.6,380,0
GC,I,20250107,192000,2664.8,2666.6,2664.2,2666.4,487,0
GC,I,20250107,192500,2666.3,2666.6,2664.9,2665.1,425,0
GC,I,20250107,193000,2665.0,2666.1,2664.2,2665.0,1245,0
GC,I,20250107,193500,2665.0,2665.0,2663.2,2663.5,486,0
GC,I,20250107,194000,2663.4,2663.4,2662.2,2663.3,409,0
GC,I,20250107,194500,2663.3,2663.3,2661.8,2662.4,297,0
GC,I,20250107,195000,2662.4,2663.6,2662.4,2662.7,227,0
GC,I,20250107,195500,2662.8,2663.2,2661.8,2661.8,243,0
GC,I,20250107,200000,2661.7,2663.6,2661.5,2663.5,510,0
GC,I,20250107,200500,2663.6,2664.1,2663.0,2663.4,189,0
GC,I,20250107,201000,2663.4,2663.8,2662.9,2663.6,146,0
GC,I,20250107,201500,2663.6,2664.3,2663.4,2663.6,109,0
GC,I,20250107,202000,2663.6,2663.6,2662.2,2662.6,273,0
GC,I,20250107,202500,2662.5,2662.8,2661.3,2661.5,213,0
GC,I,20250107,203000,2661.6,2662.4,2661.4,2662.0,135,0
GC,I,20250107,203500,2662.1,2662.9,2661.8,2662.6,158,0
GC,I,20250107,204000,2662.7,2663.2,2662.3,2662.7,175,0
GC,I,20250107,204500,2662.8,2664.6,2661.9,2664.1,288,0
GC,I,20250107,205000,2664.2,2664.7,2663.9,2664.0,83,0
GC,I,20250107,205500,2664.0,2664.6,2663.6,2663.9,92,0
GC,I,20250107,210000,2664.0,2664.0,2663.4,2663.7,123,0
GC,I,20250107,210500,2663.8,2664.4,2662.6,2662.6,216,0
GC,I,20250107,211000,2662.6,2663.4,2662.6,2662.7,90,0
GC,I,20250107,211500,2662.5,2663.6,2661.8,2663.5,184,0
GC,I,20250107,212000,2663.5,2663.7,2662.6,2663.1,79,0
GC,I,20250107,212500,2663.1,2663.1,2661.9,2662.5,164,0
GC,I,20250107,213000,2662.4,2662.7,2662.3,2662.6,205,0
GC,I,20250107,213500,2662.7,2662.8,2662.0,2662.3,274,0
GC,I,20250107,214000,2662.4,2662.6,2661.6,2662.3,315,0
GC,I,20250107,214500,2662.1,2662.7,2661.6,2662.0,327,0
GC,I,20250107,215000,2661.9,2663.3,2661.8,2663.1,280,0
GC,I,20250107,215500,2663.2,2665.5,2663.2,2665.4,474,0
GC,I,20250107,220000,2665.3,2666.0,2664.4,2664.8,426,0
GC,I,20250107,220500,2664.9,2664.9,2664.3,2664.6,202,0
GC,I,20250107,221000,2664.7,2664.8,2664.5,2664.5,44,0
GC,I,20250107,221500,2664.4,2664.7,2664.3,2664.3,60,0
GC,I,20250107,222000,2664.3,2664.8,2664.1,2664.4,139,0
GC,I,20250107,222500,2664.5,2664.8,2664.4,2664.5,59,0
GC,I,20250107,223000,2664.5,2664.9,2664.5,2664.7,62,0
GC,I,20250107,223500,2664.7,2665.0,2664.7,2664.9,54,0
GC,I,20250107,224000,2664.8,2664.8,2664.3,2664.4,76,0
GC,I,20250107,224500,2664.3,2664.7,2664.3,2664.4,75,0
GC,I,20250107,225000,2664.4,2664.8,2664.2,2664.7,144,0
GC,I,20250107,225500,2664.4,2664.5,2662.4,2662.9,336,0
GC,I,20250107,230000,2663.1,2663.4,2662.9,2663.1,70,0
GC,I,20250108,000500,2662.9,2664.0,2662.7,2663.6,215,0
GC,I,20250108,001000,2663.6,2664.0,2663.2,2663.3,105,0
GC,I,20250108,001500,2663.3,2663.8,2663.1,2663.8,90,0
GC,I,20250108,002000,2663.7,2664.4,2663.1,2663.3,213,0
GC,I,20250108,002500,2663.2,2663.4,2662.8,2663.0,47,0
GC,I,20250108,003000,2663.0,2663.4,2662.9,2663.4,14,0
GC,I,20250108,003500,2663.2,2664.2,2663.2,2664.2,35,0
GC,I,20250108,004000,2664.2,2664.2,2663.5,2664.0,41,0
GC,I,20250108,004500,2663.9,2664.2,2663.6,2663.9,62,0
GC,I,20250108,005000,2663.8,2664.0,2663.3,2664.0,71,0
GC,I,20250108,005500,2664.0,2664.3,2663.5,2663.7,229,0
GC,I,20250108,010000,2663.9,2664.3,2663.5,2663.8,115,0
GC,I,20250108,010500,2663.8,2663.9,2663.1,2663.5,112,0
GC,I,20250108,011000,2663.5,2664.1,2662.8,2663.6,77,0
GC,I,20250108,011500,2663.7,2664.3,2663.5,2663.8,173,0
GC,I,20250108,012000,2663.9,2665.0,2663.9,2664.8,152,0
GC,I,20250108,012500,2664.7,2665.7,2664.5,2665.5,164,0
GC,I,20250108,013000,2665.5,2665.5,2665.0,2665.4,111,0
GC,I,20250108,013500,2665.2,2666.2,2665.2,2665.4,131,0
GC,I,20250108,014000,2665.3,2665.4,2664.7,2665.0,47,0
GC,I,20250108,014500,2664.9,2665.2,2664.6,2665.1,66,0
GC,I,20250108,015000,2665.2,2665.6,2664.9,2665.3,61,0
