fecha,vola
2011-03-28,0.0666346423281694
2011-04-28,0.043152525213192794
2011-05-28,0.043949180427761636
2011-06-28,0.06925687759822585
2011-07-28,0.07412481094649492
2011-08-28,0.22201644969769596
2011-09-28,0.10454847337150652
2011-10-28,0.15283269908910735
2011-11-28,0.11264514240955781
2011-12-28,0.0935563495762346
2012-01-28,0.05897616606868272
2012-02-28,0.05172665687548528
2012-03-28,0.05520025671067064
2012-04-28,0.04788636932914869
2012-05-28,0.09546587408473806
2012-06-28,0.07635347427254224
2012-07-28,0.05432034645260342
2012-08-28,0.07330504649273273
2012-09-28,0.05581571862290202
2012-10-28,0.04504248486743023
2012-11-28,0.06768154241262514
2012-12-28,0.04516287362046434
2013-01-28,0.07010893277353003
2013-02-28,0.027849019107595963
2013-03-28,0.052935670466865536
2013-04-28,0.039921095291107545
2013-05-28,0.07979519999999996
2013-06-28,0.061171325347024075
2013-07-28,0.08873122993212967
2013-08-28,0.04284415925047114
2013-09-28,0.06291360209404773
2013-10-28,0.06854664828390433
2013-11-28,0.03696638896868709
2013-12-28,0.03493232427785231
2014-01-28,0.01945448136071204
